"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","35GCEFQ6I6IWRCRGAF90LGYKZ0N3ZH","A2IQ0QCTQ3KWLT","Approved","Wed Jun 21 05:35:11 PDT 2017","Wed Jun 21 05:39:04 PDT 2017","Sat Jun 24 05:39:04 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","233","100% (15/15)","100% (13/13)","100% (12/12)","0","whats your favorite movie genre?","Lets go watch it","I would have a hard time choosing between thriller and horror","I love the old thrillers, now everything is mostly gore and blood with no story","Oh I agree, whats your favorite?","I would have to go to an old favorite, I love ""Psycho""","you cant go wrong with that one, everyone feels something with that one","Bateman is so freaky in that, keeping his mother all those years","And that shower scene, I still hate taking a shower with a curtain","Thats funny, but I can see why","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","38SKSKU7R2RRCQSVGHPEH7PB38VLIX","A42MGR8VOZVA","Approved","Tue Jun 20 18:05:00 PDT 2017","Tue Jun 20 18:11:37 PDT 2017","Fri Jun 23 18:11:37 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","397","100% (60/60)","100% (40/40)","100% (40/40)","0","I want to go see the Mummy soon.","Ok, I will pick you up after work!","You mean the new movie with Tom Cruise in it?","Yes, it came out recently, and I heard it was pretty good.  I love the special effect looks.","That mummy's eyes are crazy with so many eyes in it!","Oh I know! I love thrillers m and this one looks so fun! I think the movie theater has it playing tomorrow at 5pm.","Who plays the Mummy?","Sofia Boutella plays the mummy, and does a great job from what I have heard.","Would you like me to go with you tomorrow?","Yes, that would be fun!","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","39GAF6DQWSUJ8P8RME6ECH6REFO1VT","A1T0ND039EWAVV","Submitted","Fri Jun 23 13:33:58 PDT 2017","Fri Jun 23 13:36:08 PDT 2017","Mon Jun 26 13:36:08 PDT 2017","","","","130","100% (81/81)","100% (80/80)","100% (80/80)","0","Did you ever see American Psycho with Christian Bale?","Turns out he was just having a meltdown but he went right back to his old self.","Yes that's one of my favorite movies. He definitely was psycho in that movie.","I definitely liked him better in that than I did The Dark Knight.","Oh yeah that's for sure. I love that he would play Phil Collins whenever he got ready to kill.","I know right! I wonder how Phil Collins felt about that.","I'm sure he didn't feel too bad. He got paid royalties off of it.","Oh of course how could I forget that. I'm sure he was fine with it.","Did you think he was ever going to have a change of heart while you were watching it?","At one point I did, when he was confessing.","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3JWH6J9I9T77DIHAMKDC8CPNDFTNBE","AEWPAZBYA7XE","Approved","Wed Jun 21 13:06:26 PDT 2017","Wed Jun 21 13:08:58 PDT 2017","Sat Jun 24 13:08:58 PDT 2017","Thu Jun 22 00:21:44 PDT 2017","","","152","100% (254/254)","100% (201/201)","100% (167/167)","0","The Departed was on TV last night.","Sorry I missed that....","Man! That is such a good show!","One of my favorites.","Didn't that win an award?","The Oscar for best picture.","I thought so. Scorsese is a genious.","I can't believe a few the actors didn't get awarded.","The Oscars hate DeCaprio.","Haha. This is true.","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3M68NM076I1MM4S7J0DL6G851JN6RX","A2ECRNQ3X5LEXD","Submitted","Fri Jun 23 07:01:07 PDT 2017","Fri Jun 23 07:20:44 PDT 2017","Mon Jun 26 07:20:44 PDT 2017","","","","1177","100% (206/206)","100% (173/173)","100% (139/139)","0","Are you into Thriller movies at all?","We should see it again sometime.","Not exactly.","That is too bad.","Really?","Yeah because I recently saw the Dark Knight.","Oh how was that?","It was great!","I am more of a Spiderman person myself.","I agree spiderman is very good.","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3NQL1CS15S2GYVJUY3DNQ4H1KR9VYE","APF1EAZT104LQ","Approved","Wed Jun 21 12:42:43 PDT 2017","Wed Jun 21 12:43:56 PDT 2017","Sat Jun 24 12:43:56 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","73","100% (194/194)","100% (187/187)","100% (179/179)","0","What is your favorite Hitchcock movie?","I like every scene equally. They are all great.","The Birds","I love that one","Me too. Did you know there was no music in it?","I had no idea","It was so scary. I had no idea why the birds did that.","I like how they left it a mystery.","Hitchcock does that in all of his films.","What is your favorite part of The Birds?","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3T111IHZ5FK94NU5H7GXQQZ7QBNR92","A214JTAHTAWUKA","Approved","Wed Jun 21 08:43:06 PDT 2017","Wed Jun 21 08:44:58 PDT 2017","Sat Jun 24 08:44:58 PDT 2017","Thu Jun 22 00:21:44 PDT 2017","","","112","100% (214/214)","100% (174/174)","100% (118/118)","0","Have you seen any thriller movies you like lately?","It is really a suspenseful movie.","Shudder Island, just saw it.","With Leonardo Dicaprio?","Yes, it is sort of set in the 1930's.","He is in like a mental institution right?","Yep, he spends most his time thinking he is a detective.","But there is a twist?","Yep, he is actually a patient.","I remember seeing that and being so freaked out.","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3TE3O857312Y4396WY1IG3RTK4P2RV","A34QZDSTKZ3JO9","Approved","Tue Jun 20 18:56:46 PDT 2017","Tue Jun 20 18:59:28 PDT 2017","Fri Jun 23 18:59:28 PDT 2017","Thu Jun 22 00:21:44 PDT 2017","","","162","100% (183/183)","100% (172/172)","100% (140/140)","0","I watched Saw with my brother last night.  I haven't seen it in forever.","I probably will pass on that.","I haven't seen that in years either.","Did you like it?","I think I did.  I don't think I'd want to watch it now though.","It's pretty gory.","Yeah, there are movies that are worse.  This one was about as bad as I could handle.","Did you like the sequels?","I didn't see all of them.","I have them in case you'd want to borrow them.","x",""
"3P6ENY9P79QM4ABBZU5F0V1HG51HI8","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","32XVDSJFP0R77NWERQ51U4XJFRK2MM","ABUF5EN8YNJQO","Approved","Fri Jun 23 04:51:12 PDT 2017","Fri Jun 23 04:56:27 PDT 2017","Mon Jun 26 04:56:27 PDT 2017","2017-06-26 11:57:08 UTC","","","315","100% (54/54)","100% (54/54)","100% (54/54)","0","Have you seen any thriller movies about dinosaurs?","I'm gonna have to watch that movie again, I'm excited just thinking about it.","Yeah, I just watched Jurassic Park for like the 500th time.","I love that movie! It's intense.","It definitely is. Do you remember the part where the T-Rex eats the guy who was in the bathroom?","Yeah, that was awesome. But my favorite part is when the Velociraptors are chasing people around in buildings.","That part was tense. I thought for sure they would kill all those people.","It would be so scary to be in that situation.","I think its pretty odd they didn't have a bunch of guns around.","Me too, considering they were surrounded by dangerous dinosaurs.","x",""
"3P6ENY9P79QM4ABBZU5F0V1HG51HI8","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","33CUSNVVNO638DWZD64JZD9RGAO88J","A2RKPHMUAYF2P9","Approved","Mon Jun 19 19:57:32 PDT 2017","Mon Jun 19 20:00:09 PDT 2017","Thu Jun 22 20:00:09 PDT 2017","Thu Jun 22 00:21:44 PDT 2017","","","157","100% (6/6)","100% (6/6)","100% (6/6)","0","Rosemary's Baby is one of my favorite thrillers.","That sounds scarier.","Really? Why's that?","There aren't any real ""jump scares.""","So it's not scary?","It is, but because everything that is normal in Rosemary's world slowly becomes strange an ominous.","Like her life has never been normal?","Yeah, it's scary to think of it happening to me.","Do you get to see the baby?","Not really; they more describe it than show it.","x",""
"3P6ENY9P79QM4ABBZU5F0V1HG51HI8","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","34X6J5FLPUSYYYSEQ4IAAU35QWBQJD","A2GKW1W3UCFAMK","Approved","Wed Jun 21 21:42:27 PDT 2017","Wed Jun 21 21:49:02 PDT 2017","Sat Jun 24 21:49:02 PDT 2017","Thu Jun 22 00:21:44 PDT 2017","","","395","100% (22/22)","100% (22/22)","100% (22/22)","0","What's the best thriller movie you've seen in the past few years?","And the ending was crazy. I feel so bad for the husband.","Probably Gone Girl.","Ah! That's a good one.","Yea like everything about that movie was so unexpected.","Yea, like when they did the second half of the movie from the wife's point of view.","I know right?! Like they set up it so that you're convinced that the husband had something to do with the wife's disappearance, like you're so sure of it.","Yea, then they show just how psycho the wife was and how she set the whole thing up.","Such a good twist.","I totally did not see that coming at all.","x",""
"3P6ENY9P79QM4ABBZU5F0V1HG51HI8","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","35K3O9HUAC7TWTGDYNWP1FMZEM7FEO","A67BK7ZFFRV8G","Approved","Wed Jun 21 22:46:42 PDT 2017","Wed Jun 21 22:51:01 PDT 2017","Sat Jun 24 22:51:01 PDT 2017","Thu Jun 22 00:21:44 PDT 2017","","","259","100% (4/4)","100% (4/4)","100% (4/4)","0","What is your favorite old Thriller movie?","I think that the film companies don't know how to market them.","I would say it's ""the Birds"" by Hitcock.","That's a GREAT one!  Hitchock was really the king of thrillers, don't you think?","Totally agree.  Do you like any of the more recent thrillers?","I loved Shutter Island with DiCaprio","That's one of my favorites. I can't believe the ending, can you?","I think that one bothered me for days.  DAYS.","I don't think there are as many thriller movies as there used to be, do you?","I guess the thriller movie genre is not always as easily defined as some of the other types","x",""
"3P6ENY9P79QM4ABBZU5F0V1HG51HI8","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3E4GGUZ1T9LCHZWB6ESLFR5FPERK2K","AD8JNBDMO3NED","Approved","Wed Jun 21 17:00:06 PDT 2017","Wed Jun 21 17:03:19 PDT 2017","Sat Jun 24 17:03:19 PDT 2017","Thu Jun 22 00:21:44 PDT 2017","","","193","100% (31/31)","100% (31/31)","100% (31/31)","0","Have you seen all the Mission Impossible movies?","yea","for sure, how could I miss Tom Cruise's stun, it's too visually exhilarating","that's for sure, especially the one where he's climbing the tallest tower in the world--Raj Khalifa","oh, that one really got me on the edge of seat, especially later I realized it was real stunt, not CG","yea, Tom Cruise always tend to do stunt himself, and for that I really respect him","you know in the next movie, he jumped into a water cooling server center to hihack their data?","yeah, he was blacked out when holding breath for too long","I read news later that he was actually trained to hold breath more than 3 minutes under water by some specialists from SEAL","you mean the SEAL from USA special force?","x",""
